True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping
sitting,99.35446009389672,0.25429116338207247,0.6072874493927125,0.4711425206124853,0.0,0.0,0.970873786407767,0.49019607843137253,0.0,1.7699115044247788,2.0833333333333335
sitting_phone_talking,0.0,84.04322949777496,18.42105263157895,1.1778563015312131,0.0,3.125,10.679611650485437,11.27450980392157,8.88888888888889,9.29203539823009,0.0
standing,0.0,7.183725365543547,73.27935222672065,0.4122497055359246,0.0,0.0,4.854368932038835,3.9215686274509802,8.88888888888889,6.1946902654867255,0.0
standing_phone_talking,0.2934272300469484,2.3521932612841705,0.6072874493927125,95.11189634864546,2.380952380952381,0.0,2.912621359223301,5.882352941176471,1.1111111111111112,2.6548672566371683,0.0
walking_cart,0.05868544600938967,0.25429116338207247,0.0,0.6478209658421673,95.23809523809524,0.0,0.0,0.9803921568627451,0.0,1.3274336283185841,0.0
walking_fast,0.0,0.12714558169103624,0.0,0.17667844522968199,0.0,93.75,0.0,0.49019607843137253,0.0,0.0,0.0
walking_phone,0.05868544600938967,0.7628734901462174,1.214574898785425,0.23557126030624265,2.380952380952381,0.0,69.90291262135922,2.450980392156863,1.1111111111111112,0.8849557522123894,0.0
walking_phone_talking,0.0,2.097902097902098,1.417004048582996,0.7067137809187279,0.0,3.125,3.883495145631068,71.07843137254902,1.1111111111111112,0.0,0.0
walking_slow,0.0,1.5257469802924348,3.2388663967611335,0.4122497055359246,0.0,0.0,5.825242718446602,2.9411764705882355,77.77777777777777,0.4424778761061947,0.0
wandering,0.176056338028169,1.3350286077558804,1.214574898785425,0.6478209658421673,0.0,0.0,0.970873786407767,0.49019607843137253,1.1111111111111112,77.43362831858407,0.0
window_shopping,0.05868544600938967,0.06357279084551812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.91666666666667
