True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping
sitting,98.27586206896552,0.1687289088863892,2.0,0.5572755417956656,2.3255813953488373,0.0,4.901960784313726,0.5154639175257731,1.5384615384615385,0.4830917874396135,0.0
sitting_phone_talking,0.28735632183908044,72.55343082114736,23.5,4.3343653250774,4.651162790697675,0.0,12.745098039215685,7.731958762886598,15.384615384615385,17.8743961352657,5.2631578947368425
standing,0.28735632183908044,12.65466816647919,53.0,1.0526315789473684,0.0,0.0,12.745098039215685,5.154639175257732,9.23076923076923,7.729468599033816,0.0
standing_phone_talking,0.22988505747126436,4.780652418447694,4.25,90.83591331269349,18.6046511627907,13.333333333333334,6.862745098039215,6.185567010309279,3.076923076923077,5.314009661835748,0.0
walking_cart,0.05747126436781609,0.7874015748031497,0.0,0.804953560371517,65.11627906976744,0.0,0.0,1.5463917525773196,1.5384615384615385,0.4830917874396135,0.0
walking_fast,0.0,0.0,0.0,0.06191950464396285,0.0,86.66666666666667,0.0,0.0,0.0,0.0,0.0
walking_phone,0.1724137931034483,1.4623172103487063,2.5,0.43343653250773995,2.3255813953488373,0.0,55.88235294117647,2.577319587628866,7.6923076923076925,2.4154589371980677,0.0
walking_phone_talking,0.05747126436781609,2.0809898762654666,3.0,0.9287925696594427,0.0,0.0,2.9411764705882355,74.74226804123711,4.615384615384615,1.4492753623188406,0.0
walking_slow,0.0,2.5871766029246346,3.25,0.5572755417956656,4.651162790697675,0.0,1.9607843137254901,1.0309278350515463,50.76923076923077,6.280193236714976,0.0
wandering,0.3448275862068966,2.9246344206974126,8.5,0.43343653250773995,2.3255813953488373,0.0,1.9607843137254901,0.5154639175257731,6.153846153846154,57.971014492753625,5.2631578947368425
window_shopping,0.28735632183908044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.47368421052632
