True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking,walking_phone_talking
sitting,100.0,16.666666666666668,4.545454545454546,0.0,5.882352941176471,0.0
sitting_phone_talking,0.0,77.77777777777777,0.0,0.0,0.0,0.0
standing,0.0,0.0,59.09090909090909,20.0,17.647058823529413,34.48275862068966
standing_phone_talking,0.0,0.0,4.545454545454546,72.0,11.764705882352942,13.793103448275861
walking,0.0,5.555555555555555,18.181818181818183,4.0,41.1764705882353,10.344827586206897
walking_phone_talking,0.0,0.0,13.636363636363637,4.0,23.529411764705884,41.37931034482759
