True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping
sitting,99.19308357348703,0.06337135614702155,0.19305019305019305,0.48691418137553255,3.278688524590164,0.0,1.834862385321101,0.47619047619047616,1.0416666666666667,0.9950248756218906,0.0
sitting_phone_talking,0.05763688760806916,84.1571609632446,21.042471042471043,1.5824710894704808,1.639344262295082,4.761904761904762,11.926605504587156,14.761904761904763,10.416666666666666,8.457711442786069,0.0
standing,0.0,7.224334600760456,68.91891891891892,0.5477784540474742,1.639344262295082,4.761904761904762,7.339449541284404,2.380952380952381,5.208333333333333,1.9900497512437811,0.0
standing_phone_talking,0.2881844380403458,1.7743979721166032,1.3513513513513513,94.46135118685332,4.918032786885246,0.0,0.0,7.142857142857143,4.166666666666667,1.492537313432836,0.0
walking_cart,0.0,0.0,0.0,0.30432136335970783,85.24590163934427,0.0,0.9174311926605505,0.9523809523809523,1.0416666666666667,0.0,0.0
walking_fast,0.0,0.19011406844106463,0.0,0.30432136335970783,0.0,90.47619047619048,0.0,0.0,0.0,0.0,0.0
walking_phone,0.05763688760806916,1.5842839036755387,1.5444015444015444,0.12172854534388314,0.0,0.0,71.55963302752293,0.0,3.125,0.9950248756218906,0.0
walking_phone_talking,0.0,2.091254752851711,1.7374517374517375,1.278149726110773,3.278688524590164,0.0,0.0,70.95238095238095,4.166666666666667,0.4975124378109453,0.0
walking_slow,0.11527377521613832,1.5842839036755387,2.5096525096525095,0.5477784540474742,0.0,0.0,1.834862385321101,1.4285714285714286,67.70833333333333,0.4975124378109453,0.0
wandering,0.2881844380403458,1.3307984790874525,2.7027027027027026,0.36518563603164944,0.0,0.0,3.669724770642202,1.9047619047619047,3.125,85.07462686567165,0.0
window_shopping,0.0,0.0,0.0,0.0,0.0,0.0,0.9174311926605505,0.0,0.0,0.0,100.0
