True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking,walking_phone_talking,All
sitting,15,3,0,0,4,1,23
sitting_phone_talking,4,10,0,0,0,0,14
standing,1,0,16,7,5,2,31
standing_phone_talking,0,0,1,13,6,5,25
walking,1,0,6,1,3,5,16
walking_phone_talking,0,0,4,4,4,8,20
All,21,13,27,25,22,21,129
