True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping
sitting,80.95238095238095,0.0,7.6923076923076925,0.0,0.0,0.0,6.451612903225806,0.0,0.0,5.2631578947368425,13.043478260869565
sitting_phone_talking,0.0,30.76923076923077,11.538461538461538,5.555555555555555,5.2631578947368425,0.0,9.67741935483871,23.529411764705884,25.0,0.0,4.3478260869565215
standing,4.761904761904762,0.0,15.384615384615385,5.555555555555555,0.0,4.761904761904762,9.67741935483871,0.0,14.285714285714286,0.0,0.0
standing_phone_talking,0.0,7.6923076923076925,23.076923076923077,22.22222222222222,15.789473684210526,4.761904761904762,9.67741935483871,11.764705882352942,7.142857142857143,15.789473684210526,8.695652173913043
walking_cart,0.0,7.6923076923076925,0.0,27.77777777777778,47.36842105263158,0.0,0.0,5.882352941176471,3.5714285714285716,0.0,0.0
walking_fast,0.0,0.0,0.0,0.0,0.0,90.47619047619048,0.0,0.0,0.0,0.0,0.0
walking_phone,9.523809523809524,15.384615384615385,11.538461538461538,5.555555555555555,0.0,0.0,45.16129032258065,17.647058823529413,14.285714285714286,5.2631578947368425,0.0
walking_phone_talking,0.0,15.384615384615385,11.538461538461538,5.555555555555555,15.789473684210526,0.0,9.67741935483871,35.294117647058826,0.0,5.2631578947368425,0.0
walking_slow,0.0,7.6923076923076925,15.384615384615385,11.11111111111111,10.526315789473685,0.0,3.225806451612903,5.882352941176471,25.0,0.0,0.0
wandering,4.761904761904762,7.6923076923076925,3.8461538461538463,16.666666666666668,5.2631578947368425,0.0,6.451612903225806,0.0,10.714285714285714,68.42105263157895,0.0
window_shopping,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.91304347826087
