True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking,walking_phone,walking_phone_talking,All
sitting,26,0,0,0,0,0,0,26
sitting_phone_talking,0,21,0,0,0,0,0,21
standing,1,0,11,2,7,0,5,26
standing_phone_talking,0,0,3,21,0,3,0,27
walking,0,0,3,1,11,1,1,17
walking_phone,0,0,0,2,1,12,2,17
walking_phone_talking,1,0,0,1,4,2,8,16
All,28,21,17,27,23,18,16,150
