True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking,walking_phone,walking_phone_talking
sitting,92.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0
sitting_phone_talking,0.0,100.0,0.0,0.0,0.0,0.0,0.0
standing,3.5714285714285716,0.0,64.70588235294117,7.407407407407407,30.434782608695652,0.0,31.25
standing_phone_talking,0.0,0.0,17.647058823529413,77.77777777777777,0.0,16.666666666666668,0.0
walking,0.0,0.0,17.647058823529413,3.7037037037037037,47.82608695652174,5.555555555555555,6.25
walking_phone,0.0,0.0,0.0,7.407407407407407,4.3478260869565215,66.66666666666667,12.5
walking_phone_talking,3.5714285714285716,0.0,0.0,3.7037037037037037,17.391304347826086,11.11111111111111,50.0
