True,sitting,sitting_phone_talking,standing,standing_phone_talking,walking_cart,walking_fast,walking_phone,walking_phone_talking,walking_slow,wandering,window_shopping
sitting,72.41379310344827,9.523809523809524,5.714285714285714,3.4482758620689653,2.4390243902439024,0.0,2.7027027027027026,3.0303030303030303,0.0,7.317073170731708,0.0
sitting_phone_talking,6.896551724137931,23.80952380952381,22.857142857142858,13.793103448275861,4.878048780487805,0.0,5.405405405405405,3.0303030303030303,4.761904761904762,12.195121951219512,2.7027027027027026
standing,3.4482758620689653,14.285714285714286,31.428571428571427,6.896551724137931,0.0,2.9411764705882355,5.405405405405405,0.0,14.285714285714286,12.195121951219512,0.0
standing_phone_talking,6.896551724137931,4.761904761904762,2.857142857142857,58.62068965517241,12.195121951219512,2.9411764705882355,0.0,9.090909090909092,7.142857142857143,7.317073170731708,0.0
walking_cart,0.0,0.0,5.714285714285714,6.896551724137931,60.97560975609756,0.0,10.81081081081081,0.0,2.380952380952381,0.0,0.0
walking_fast,0.0,4.761904761904762,8.571428571428571,0.0,0.0,82.3529411764706,2.7027027027027026,0.0,2.380952380952381,2.4390243902439024,0.0
walking_phone,0.0,9.523809523809524,2.857142857142857,0.0,0.0,0.0,37.83783783783784,9.090909090909092,4.761904761904762,4.878048780487805,2.7027027027027026
walking_phone_talking,0.0,0.0,2.857142857142857,6.896551724137931,12.195121951219512,5.882352941176471,5.405405405405405,69.6969696969697,2.380952380952381,7.317073170731708,0.0
walking_slow,3.4482758620689653,9.523809523809524,11.428571428571429,0.0,4.878048780487805,2.9411764705882355,16.216216216216218,3.0303030303030303,42.857142857142854,7.317073170731708,2.7027027027027026
wandering,3.4482758620689653,19.047619047619047,5.714285714285714,3.4482758620689653,2.4390243902439024,2.9411764705882355,13.513513513513514,3.0303030303030303,19.047619047619047,31.70731707317073,2.7027027027027026
window_shopping,3.4482758620689653,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.317073170731708,89.1891891891892
